		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  240  227  246  230  255  284  246  264 11.100607 0.196064 SUCCESS   0
000000011  229  277  243  240  282  250  228  235 13.303676 0.101819 SUCCESS   1
000000101  245  238  258  197  258  257  260  268 15.387058 0.052042 SUCCESS   2
000000111  231  241  234  249  248  258  232  231  3.538150 0.896209 SUCCESS   3
000001001  253  256  245  219  224  235  214  255 10.023433 0.263385 SUCCESS   4
000001011  231  244  250  221  268  231  264  267 10.177013 0.252821 SUCCESS   5
000001101  253  246  244  228  238  246  268  230  4.884352 0.769862 SUCCESS   6
000001111  214  261  255  265  246  244  230  224  9.974712 0.266805 SUCCESS   7
000010001  242  230  253  241  253  277  237  251  6.567369 0.583945 SUCCESS   8
000010011  236  255  226  221  231  233  221  247  7.993009 0.434153 SUCCESS   9
000010101  238  223  256  228  246  256  202  240 11.951118 0.153398 SUCCESS  10
000010111  275  247  250  226  244  229  271  231 10.370840 0.239956 SUCCESS  11
000011001  237  246  250  274  255  226  249  232  6.773907 0.561211 SUCCESS  12
000011011  242  224  234  247  223  247  273  244  7.662549 0.467108 SUCCESS  13
000011101  245  251  250  226  225  241  236  246  3.627120 0.889103 SUCCESS  14
000011111  235  227  252  269  251  245  273  251  8.415617 0.393959 SUCCESS  15
000100011  215  238  259  215  263  261  241  256 11.638664 0.168068 SUCCESS  16
000100101  240  232  239  233  258  237  245  257  3.066820 0.930094 SUCCESS  17
000100111  264  237  258  232  242  222  235  257  6.475222 0.594157 SUCCESS  18
